project_id,sprint_velocity,scope_changes,team_load,on_time
1,294.38,331.9,281.94,1
2,268.16,146.69,197.52,0
3,433.83,17.03,283.49,0
4,370.03,346.35,200.09,1
5,243.53,155.88,328.2,0
6,410.18,362.08,32.57,1
7,276.87,243.04,15.34,0
8,224.33,184.58,464.25,1
9,14.14,99.49,350.4,0
10,342.45,94.97,203.58,0
11,395.29,423.51,214.35,1
12,355.9,190.59,312.56,1
13,481.43,307.96,253.65,1
14,363.62,204.77,75.07,0
15,15.6,291.64,487.21,0
16,464.48,11.21,54.56,0
17,413.04,64.17,224.96,0
18,344.04,152.9,460.88,1
19,369.58,18.26,458.84,1
20,43.42,230.98,255.89,0
21,18.92,262.51,50.19,0
22,273.47,241.94,415.78,1
23,451.91,117.73,331.61,1
24,363.36,129.35,126.63,0
25,448.62,132.26,164.75,0
26,153.79,392.34,424.64,1
27,240.23,174.83,59.53,0
28,150.45,311.56,41.45,0
29,278.99,163.97,164.85,0
30,433.33,483.42,149.38,1
31,268.68,85.05,40.4,0
32,383.8,214.28,438.32,1
33,460.23,280.92,57.88,1
34,229.7,488.29,475.6,1
35,262.26,166.82,125.13,0
36,279.35,97.4,347.45,0
37,245.98,40.22,285.11,0
38,424.73,55.43,351.63,1
39,265.37,483.05,455.34,1
40,120.08,386.22,107.58,0
41,245.36,57.68,382.14,0
42,66.52,395.43,375.9,1
43,276.46,453.85,318.83,1
44,263.79,394.89,75.8,0
45,423.82,139.04,433.57,1
46,153.7,338.3,427.98,1
47,412.05,59.33,88.76,0
48,91.26,208.01,248.96,0
49,226.83,212.37,33.61,0
50,416.94,30.81,78.94,0
51,174.84,125.93,177.1,0
52,228.5,456.33,359.67,1
53,372.61,470.9,295.05,1
54,351.08,106.06,430.43,1
55,44.76,229.11,15.73,0
56,77.99,180.44,480.16,0
57,73.24,205.15,261.71,0
58,294.44,335.2,230.25,1
59,256.33,258.29,498.05,1
60,456.91,465.65,322.44,1
61,107.21,369.22,265.34,0
62,430.54,132.61,180.81,0
63,420.36,485.87,170.99,1
64,313.79,273.21,18.4,0
65,170.74,31.43,75.21,0
66,328.97,106.5,148.76,0
67,380.98,243.15,408.05,1
68,258.76,23.26,266.34,0
69,66.23,457.77,359.58,1
70,322.91,145.54,314.0,0
71,370.25,131.21,497.57,1
