project_id,start_date,planned_end_date,actual_end_date,planned_duration_days,actual_duration_days,budget_usd,actual_cost_usd,team_size,complexity,risk_level,status,success,satisfaction_score
PRJ_0001,2022-01-31,2022-07-08,2022-08-30,158,211,185620.04,225767.67,16,6,5,Completed,0,4
PRJ_0002,2021-05-10,2021-11-01,2021-10-27,175,170,386424.22,397051.27,34,1,1,Completed,0,3
PRJ_0003,2022-02-04,2022-10-12,2023-01-01,250,331,276224.18,317756.29,25,8,1,Completed,0,2
PRJ_0004,2021-12-31,2022-11-08,2023-02-12,312,408,154495.71,193798.05,35,10,1,Completed,0,2
PRJ_0005,2021-11-10,2022-06-18,2022-06-05,220,207,454808.56,521367.64,28,7,1,Completed,0,4
PRJ_0006,2019-05-02,2020-03-12,2020-06-21,315,416,222751.05,221232.73,24,6,1,Completed,0,2
PRJ_0007,2020-04-11,2021-04-28,2021-07-08,382,453,294598.79,268014.29,41,6,1,Completed,0,2
PRJ_0008,2022-05-23,2022-11-26,2023-02-03,187,256,457912.45,571492.85,8,5,2,Completed,0,2
PRJ_0009,2019-11-27,2020-02-12,2020-06-06,77,192,330907.1,300631.67,32,6,4,Completed,0,2
PRJ_0010,2019-03-29,2020-12-13,2021-01-21,625,664,102604.12,128242.9,48,9,5,Completed,0,2
PRJ_0011,2022-01-28,2023-10-19,2023-10-26,629,636,472924.46,525690.93,24,10,1,Completed,0,2
PRJ_0012,2021-05-21,2022-06-07,2022-08-26,382,462,332468.62,424105.98,28,9,2,Completed,0,3
PRJ_0013,2019-05-11,2021-03-26,2021-04-15,685,705,200707.53,244765.5,36,10,2,Cancelled,0,1
PRJ_0014,2021-02-08,2022-01-21,2022-05-21,347,467,112672.43,146381.05,45,8,2,Completed,0,3
PRJ_0015,2019-12-10,2021-11-07,2021-12-02,698,723,407311.34,423719.76,40,10,4,Completed,0,2
PRJ_0016,2021-03-16,2021-10-16,2021-10-30,214,228,329032.74,397101.49,38,9,5,Completed,0,2
PRJ_0017,2020-01-21,2021-07-23,2021-11-13,549,662,290057.49,307684.97,40,10,4,Completed,0,4
